Links,Category
https://www.hindutamil.in/news/education/1172429-free-course-run-by-students-in-coimbatore.html,education
https://www.hindutamil.in/news/education/1172422-agriculture-education-related-course-and-jobs-details.html,education
https://www.hindutamil.in/news/education/1172209-sslc-11th-12th-general-exam.html,education
https://www.hindutamil.in/news/education/1171859-govt-primary-school-to-become-hi-tech-in-pudukkottai.html,education
https://www.hindutamil.in/news/education/1171695-district-science-fair-on-27th-december.html,education
https://www.hindutamil.in/news/education/1171776-tamil-will-be-included-in-the-five-year-law-course.html,education
https://www.hindutamil.in/news/education/1171307-question-bank-book-for-class-10-and-12-students-to-help-in-board-examination.html,education
https://www.hindutamil.in/news/education/1171081-govt-girls-hostel-surrounded-by-rain-water-on-virudhunagar-suffering-for-15-years-due-to-lack-of-road.html,education
https://www.hindutamil.in/news/education/1170854-nptel-iit-madras-launches-specialized-free-courses-in-sports-science.html,education
https://www.hindutamil.in/news/education/1170644-speech-and-essay-competitions-for-school-students.html,education
https://www.hindutamil.in/news/education/1170250-school-girls-strike-on-coimbatore.html,education
https://www.hindutamil.in/news/education/1169618-training-in-vegetable-production-in-agriculture.html,education
https://www.hindutamil.in/news/education/1169263-udhagai-medical-college-to-be-opened-on-march-minister-av-velu-confirmed.html,education
https://www.hindutamil.in/news/education/1169178-action-for-failure-to-follow-anti-ragging-guidelines-ugc-warns-higher-education-institutions.html,education
https://www.hindutamil.in/news/education/1169184-general-transition-consultation-after-graduate-teacher-appointments-school-education-department.html,education
https://www.hindutamil.in/news/education/1168922-government-school-with-only-one-student.html,education
https://www.hindutamil.in/news/education/1168453-temple-hall-changed-into-classroom.html,education
https://www.hindutamil.in/news/education/1168448-govt-arts-college-is-rennovating-in-udhagai.html,education
https://www.hindutamil.in/news/education/1168205-vegetable-gardening-in-government-schools.html,education
https://www.hindutamil.in/news/education/1167853-half-yearly-examination-has-started-all-over-tamil-nadu.html,education
